,sentence,adjective,noun,
173,"Poliitika “ suurfirmad ” Euroopa Liit ja USA jagavad ära suure osa tuleviku poliitikaturust , oma suurusega saavad nad globaalset majandust mõjutada neile ***** suunas .",hädavajalik,suund,Yes
174,"Kõiksuses kulgeks ilma alguse ja lõputa ***** aeg , igas osauniversumis oleks aga oma lõplik aeg .",igavene,aeg,Yes
175,"Kõiksuses kulgeks ilma alguse ja lõputa ***** aeg , igas osauniversumis oleks aga oma lõplik aeg .",lõputu,aeg,Yes
176,"Olen tõesti otsinud ***** väärtusega ajatuid laule , mida kõlbaks kuulata ka aastate pärast . ”",kestev,väärtus,Yes
177,"Olen tõesti otsinud ***** väärtusega ajatuid laule , mida kõlbaks kuulata ka aastate pärast . ”",jääv,väärtus,Yes
178,***** konverentsist Lundis ei võtnud osa ükski Eestist kutsutud ornitoloog .,järgmine,konverents,Yes
179,***** konverentsist Lundis ei võtnud osa ükski Eestist kutsutud ornitoloog .,järgnev,konverents,Yes
180,"Juhtkond peab manipuleerima rahaga , sest muidu tuleb ta poole aasta pealt ministeeriumist raha juurde küsima või teatab , et nüüd oleme pankrotis , ” ei pea sotsiaalministeeriumi sotsiaalse turvalisuse osakonna juhataja Deiw Rahumägi tegelikkusest kõrvalekaldeid ***** patuks .",suur,patt,Yes
181,"Juhtkond peab manipuleerima rahaga , sest muidu tuleb ta poole aasta pealt ministeeriumist raha juurde küsima või teatab , et nüüd oleme pankrotis , ” ei pea sotsiaalministeeriumi sotsiaalse turvalisuse osakonna juhataja Deiw Rahumägi tegelikkusest kõrvalekaldeid ***** patuks .",sügav,patt,No
182,"Selle asemel , et lasta inimestel ja riigil oma ***** keerukast minevikust normaalse arengu tulemusel kaugeneda , avaldatakse otsest survet , mida pealegi saab otseselt kellegagi seostada ( antud juhul Euroopa Liiduga ) .",hiline,minevik,Yes
183,"Selle asemel , et lasta inimestel ja riigil oma ***** keerukast minevikust normaalse arengu tulemusel kaugeneda , avaldatakse otsest survet , mida pealegi saab otseselt kellegagi seostada ( antud juhul Euroopa Liiduga ) .",mahajäänud,minevik,No
184,Veel vahetult enne Eestisse tulekut armastas ta ***** jalutuskäike mägedesse .,pikk,jalutuskäik,Yes
185,Veel vahetult enne Eestisse tulekut armastas ta ***** jalutuskäike mägedesse .,kauge,jalutuskäik,No
186,Nende kahe arvu vahele ***** nägudega töömesilaste vägi ilmselt jääb .,lilla,nägu,Yes
187,Nende kahe arvu vahele ***** nägudega töömesilaste vägi ilmselt jääb .,lillakas,nägu,Yes
188,Ja muusikalideni on ka ***** tee .,pikk,tee,Yes
189,Ja muusikalideni on ka ***** tee .,kauge,tee,No
190,"Märtsist 1996 , kui kaitsejõudude ***** ülemaks oli saanud Johannes Kert , ilmus Tiru taas peastaapi .",uus,ülem,Yes
191,"Märtsist 1996 , kui kaitsejõudude ***** ülemaks oli saanud Johannes Kert , ilmus Tiru taas peastaapi .",originaalne,ülem,No
192,"Hea küll , vahel harva , kui Andrusel on väga ***** taastuv treening , suusatab ta koos naisega .",kerge,treening,Yes
193,"Hea küll , vahel harva , kui Andrusel on väga ***** taastuv treening , suusatab ta koos naisega .",põgus,treening,Yes
194,"HEILI SIBRTIS “ Kui esimest korda ***** Tallinna baar-varietee ruumidesse astusin , siis tuli nutt kurku küll , ” tunnistab Mait Agu poeg Märt , kes lööb kaasa revüüteatri Bel Etage kavas “ Beau Monde ” ja ka kohe-kohe esietenduvas folgisugemetega tükis “ Ai lupsadi luusangadi ” .",endine,ruum,Yes
195,"HEILI SIBRTIS “ Kui esimest korda ***** Tallinna baar-varietee ruumidesse astusin , siis tuli nutt kurku küll , ” tunnistab Mait Agu poeg Märt , kes lööb kaasa revüüteatri Bel Etage kavas “ Beau Monde ” ja ka kohe-kohe esietenduvas folgisugemetega tükis “ Ai lupsadi luusangadi ” .",omaaegne,ruum,Yes
196,Mis seosed tekivad veel ***** vaatamisel ?,esmane,vaatamine,Yes
197,Mis seosed tekivad veel ***** vaatamisel ?,algupärane,vaatamine,No
198,***** kirjas : Traditsioonilised teenused kontorite võrgu ja postipanga kaudu Teie kodukohas .,väike,kiri,Yes
199,***** kirjas : Traditsioonilised teenused kontorite võrgu ja postipanga kaudu Teie kodukohas .,keskpärane,kiri,No
