,sentence,adjective,noun,
179,Peeter Ernits “ Paari-kolme aasta pärast saab ***** fenomeniks noorte Eesti juhtide asumine Soome firmade etteotsa .,originaalne,fenomen,no
180,"Inimese tervis ja heaolu loovad ***** vajadusi , mis omakorda sünnitavad tööd .",uus,vajadus,yes
181,"Inimese tervis ja heaolu loovad ***** vajadusi , mis omakorda sünnitavad tööd .",originaalne,vajadus,no
182,End segi kamminud inimsed on õnneks ka üsna ***** käega .,ebatäpne,käsi,yes
183,End segi kamminud inimsed on õnneks ka üsna ***** käega .,vaba,käsi,yes
184,“ Tegin algaja tattoosõbra ***** vea - lasin tätoveerida pisikese asja võimalikult nähtamatusse kohta .,tüüpiline,viga,yes
185,“ Tegin algaja tattoosõbra ***** vea - lasin tätoveerida pisikese asja võimalikult nähtamatusse kohta .,iseloomulik,viga,yes
186,Kummalisi energiaid vallandab see linnuparvi liikumapanev ***** tung !,ürgne,tung,yes
187,Kummalisi energiaid vallandab see linnuparvi liikumapanev ***** tung !,algne,tung,no
188,"Erakondi ja poliitikuid tuntakse vähe , ***** seisukohad puuduvad või on vastuolulised .",poliitiline,seisukoht,yes
189,"Erakondi ja poliitikuid tuntakse vähe , ***** seisukohad puuduvad või on vastuolulised .",riiklik,seisukoht,no
190,"“ Igatahes on residentuuri ***** baas saatkond , ainult saatkond , mis on kõige kindlam “ katus ” .",peamine,baas,yes
191,"“ Igatahes on residentuuri ***** baas saatkond , ainult saatkond , mis on kõige kindlam “ katus ” .",fundamentaalne,baas,yes
192,"Kuigi ametiühingud korraldavad sageli suuremaid protestiaktsioone , ei krooni neid tavaliselt ***** edu .",otsene,edu,yes
193,"Kuigi ametiühingud korraldavad sageli suuremaid protestiaktsioone , ei krooni neid tavaliselt ***** edu .",esmane,edu,yes
194,"“ Siiski , tagasitulijate arv oleneb sellest , millised tingimused Eesti valitsus neile välja pakub , ” põikleb oma ***** tegevuse eest valitsuse eriesindajana Petserimaal naabrite poolt persona non grata ks tembeldatud Lõvi konkreetsete arvude nimetamisest kõrvale .",hiljutine,tegevus,yes
195,"“ Siiski , tagasitulijate arv oleneb sellest , millised tingimused Eesti valitsus neile välja pakub , ” põikleb oma ***** tegevuse eest valitsuse eriesindajana Petserimaal naabrite poolt persona non grata ks tembeldatud Lõvi konkreetsete arvude nimetamisest kõrvale .",uus,tegevus,yes
196,"***** kuluartikkel on küll küsitava väärtusega , jääb arusaamatuks , millist väärtuslikku informatsiooni riik iseenda asutuse käest 772 000 krooni eest ikkagi ostis .",viimane,kuluartikkel,yes
197,"***** kuluartikkel on küll küsitava väärtusega , jääb arusaamatuks , millist väärtuslikku informatsiooni riik iseenda asutuse käest 772 000 krooni eest ikkagi ostis .",püsiv,kuluartikkel,no
198,"” Avameelsushetked on möödas , edukas poissmees on ümberlülitunud ***** rolli - sigarit pahvivaks , peeneruudulises särgis ärimeheks , kes räägib tööandmise raskest kohustusest ning videvikuhetkedel vestleb ja mõtiskleb inimelu olemuse , Tallinna keskaegse ajaloo ning Uue Testamendi sõnade “ Aeg kive laiali loopida , aeg neid kokku koguda ” üle .",uus,roll,yes
199,"” Avameelsushetked on möödas , edukas poissmees on ümberlülitunud ***** rolli - sigarit pahvivaks , peeneruudulises särgis ärimeheks , kes räägib tööandmise raskest kohustusest ning videvikuhetkedel vestleb ja mõtiskleb inimelu olemuse , Tallinna keskaegse ajaloo ning Uue Testamendi sõnade “ Aeg kive laiali loopida , aeg neid kokku koguda ” üle .",originaalne,roll,yes
