,sentence,adjective,noun,
173,"“ Meil oli ***** , soe ja sõbralik suhtlus , ” meenutab Kõiva .",kauge,suhtlus,No
174,"Hiljem see nõudmine soikus , kuid ametlikult oma ***** seisukohavõttudest loobutud pole .",kunagine,seisukohavõtt,Yes
175,"Hiljem see nõudmine soikus , kuid ametlikult oma ***** seisukohavõttudest loobutud pole .",omaaegne,seisukohavõtt,Yes
176,"Kui aga numbritesse süveneda , siis võib arusaamatuses käsi laiutada ja pärida : kui palju on Eestis inimesi , kes võivad endale lubada ***** eramu soetamist ( kasvõi pangalaenuga ) ?",tuttuus,eramu,Yes
177,"Kui aga numbritesse süveneda , siis võib arusaamatuses käsi laiutada ja pärida : kui palju on Eestis inimesi , kes võivad endale lubada ***** eramu soetamist ( kasvõi pangalaenuga ) ?",uus,eramu,Yes
178,"Psühhiaatri ***** lootus on aidata haigel leida uusi eesmärke ja huvisid , mis peletaksid kinnismõtte eemale .",peamine,lootus,Yes
179,"Psühhiaatri ***** lootus on aidata haigel leida uusi eesmärke ja huvisid , mis peletaksid kinnismõtte eemale .",eriline,lootus,No
180,"Siinjuures kasutavad nad ühekülgseid argumente , et vene rahva kultuurilised väärtused ei ole mitte niivõrd religioosset päritolu , kuivõrd kujunenud slaavi hõimude ***** arengu käigus .",ajalooline,areng,Yes
181,"Siinjuures kasutavad nad ühekülgseid argumente , et vene rahva kultuurilised väärtused ei ole mitte niivõrd religioosset päritolu , kuivõrd kujunenud slaavi hõimude ***** arengu käigus .",keskaegne,areng,No
182,"1994. aastal avaldas seesama Tipler raamatu “ The Physics of Immortality ” ( “ Surematuse füüsika ” ) , mis järjest ***** trükkides ilmudes raputas füüsikamaailma ( ja mitte ainult ) päris korralikult .",uus,trükk,Yes
183,"1994. aastal avaldas seesama Tipler raamatu “ The Physics of Immortality ” ( “ Surematuse füüsika ” ) , mis järjest ***** trükkides ilmudes raputas füüsikamaailma ( ja mitte ainult ) päris korralikult .",originaalne,trükk,No
184,Küünik peab häbi vihaks enese vastu ning püüab ***** koormast lahti saada .,ebamugav,koorem,Yes
185,Küünik peab häbi vihaks enese vastu ning püüab ***** koormast lahti saada .,tume,koorem,Yes
186,"Minul ei ole õigust neid kommenteerida , need on ***** .",konfidentsiaalne,mina,No
187,"Minul ei ole õigust neid kommenteerida , need on ***** .",lähedane,mina,No
188,Püüdlemist ***** seksi järele .,täiuslik,seks,Yes
189,Püüdlemist ***** seksi järele .,ideaalne,seks,Yes
190,Roxette'ilt on lähinädalail oodata ***** hitti A Thing About You .,uus,hitt,Yes
191,Roxette'ilt on lähinädalail oodata ***** hitti A Thing About You .,originaalne,hitt,No
192,"Šampust natuke mekkisime , siis sõidutas Alar Kotkas - tema on alati ***** autojuht !",kaine,autojuht,Yes
193,"Šampust natuke mekkisime , siis sõidutas Alar Kotkas - tema on alati ***** autojuht !",realistlik,autojuht,No
194,"Meid informeeriti sellest , kuid ei põhjendatud , ***** žüriiga kohtusime alles finaalis .",uus,žürii,Yes
195,"Meid informeeriti sellest , kuid ei põhjendatud , ***** žüriiga kohtusime alles finaalis .",originaalne,žürii,Yes
196,Laste muretsemine on liiga ***** vastutus .,suur,vastutus,Yes
197,Laste muretsemine on liiga ***** vastutus .,kõrge,vastutus,Yes
198,"Loen veel kord üle selle filmi tutvustusi - mis epiteetidega on seda küll iseloomustatud : hääbuv aristokraatia , ***** ilu , armastussurmade tähesadu ja mida kõik veel .",täiuslik,ilu,Yes
199,"Loen veel kord üle selle filmi tutvustusi - mis epiteetidega on seda küll iseloomustatud : hääbuv aristokraatia , ***** ilu , armastussurmade tähesadu ja mida kõik veel .",ideaalne,ilu,Yes
